notch,notchdesc,srg,srgdesc,mcp,mcpdesc
ako/c,(I)Z,net/minecraft/block/BlockDoublePlant/func_149887_c,(I)Z,net/minecraft/block/BlockDoublePlant/func_149887_c,(I)Z
xn/e,()Lagp;,net/minecraft/entity/EntityMinecartCommandBlock/func_145822_e,()Lnet/minecraft/command/server/CommandBlockLogic;,net/minecraft/entity/EntityMinecartCommandBlock/func_145822_e,()Lnet/minecraft/command/server/CommandBlockLogic;
bno/a,(Lsa;DDDFF)V,net/minecraft/client/renderer/entity/Render/func_76986_a,(Lnet/minecraft/entity/Entity;DDDFF)V,net/minecraft/client/renderer/entity/Render/doRender,(Lnet/minecraft/entity/Entity;DDDFF)V
xc/bn,()V,net/minecraft/entity/boss/EntityWither/func_70619_bc,()V,net/minecraft/entity/boss/EntityWither/updateAITasks,()V
aft/a,(Lsv;Lsa;I)V,net/minecraft/enchantment/Enchantment/func_151368_a,(Lnet/minecraft/entity/EntityLivingBase;Lnet/minecraft/entity/Entity;I)V,net/minecraft/enchantment/Enchantment/func_151368_a,(Lnet/minecraft/entity/EntityLivingBase;Lnet/minecraft/entity/Entity;I)V
bma/a,(Lsv;Z)Z,net/minecraft/client/renderer/RenderGlobal/func_72716_a,(Lnet/minecraft/entity/EntityLivingBase;Z)Z,net/minecraft/client/renderer/RenderGlobal/updateRenderers,(Lnet/minecraft/entity/EntityLivingBase;Z)Z
bey/b,(II)V,net/minecraft/client/gui/GuiRepair/func_146979_b,(II)V,net/minecraft/client/gui/GuiRepair/drawGuiContainerForegroundLayer,(II)V
aob/a,(Lahb;IIILyz;IFFF)Z,net/minecraft/block/BlockTNT/func_149727_a,(Lnet/minecraft/world/World;IIILnet/minecraft/entity/player/EntityPlayer;IFFF)Z,net/minecraft/block/BlockTNT/onBlockActivated,(Lnet/minecraft/world/World;IIILnet/minecraft/entity/player/EntityPlayer;IFFF)Z
yz/aU,()Ljava/lang/String;,net/minecraft/entity/player/EntityPlayer/func_70673_aS,()Ljava/lang/String;,net/minecraft/entity/player/EntityPlayer/getDeathSound,()Ljava/lang/String;
ph/e,()Lfj;,net/minecraft/stats/StatBase/func_150951_e,()Lnet/minecraft/util/IChatComponent;,net/minecraft/stats/StatBase/func_150951_e,()Lnet/minecraft/util/IChatComponent;
amh/a,(I)I,net/minecraft/block/BlockNewLeaf/func_149692_a,(I)I,net/minecraft/block/BlockNewLeaf/damageDropped,(I)I
aji/a,(Z)Laji;,net/minecraft/block/Block/func_149675_a,(Z)Lnet/minecraft/block/Block;,net/minecraft/block/Block/setTickRandomly,(Z)Lnet/minecraft/block/Block;
re/g,()Ljava/lang/String;,net/minecraft/client/renderer/IconFlipped/func_94215_i,()Ljava/lang/String;,net/minecraft/client/renderer/IconFlipped/getIconName,()Ljava/lang/String;
brk/a,(Lcom/mojang/authlib/GameProfile;)Ljava/util/Map;,net/minecraft/client/resources/SkinManager$1/func_152786_a,(Lcom/mojang/authlib/GameProfile;)Ljava/util/Map;,net/minecraft/client/resources/SkinManager$1/func_152786_a,(Lcom/mojang/authlib/GameProfile;)Ljava/util/Map;
bec/a,(Lbcb;)V,net/minecraft/client/gui/GuiScreenOptionsSounds/func_146284_a,(Lnet/minecraft/client/gui/GuiButton;)V,net/minecraft/client/gui/GuiScreenOptionsSounds/actionPerformed,(Lnet/minecraft/client/gui/GuiButton;)V
aji/E,()Z,net/minecraft/block/Block/func_149700_E,()Z,net/minecraft/block/Block/canSilkHarvest,()Z
avk/b,(Lahb;Laji;IIIILasv;)V,net/minecraft/world/gen/structure/StructureComponent/func_151554_b,(Lnet/minecraft/world/World;Lnet/minecraft/block/Block;IIIILnet/minecraft/world/gen/structure/StructureBoundingBox;)V,net/minecraft/world/gen/structure/StructureComponent/func_151554_b,(Lnet/minecraft/world/World;Lnet/minecraft/block/Block;IIIILnet/minecraft/world/gen/structure/StructureBoundingBox;)V
pn/a,(I)V,net/minecraft/util/TupleIntJsonSerializable/func_151188_a,(I)V,net/minecraft/util/TupleIntJsonSerializable/setIntegerValue,(I)V
bof/a,(Lsa;DDDFF)V,net/minecraft/client/renderer/entity/RenderLeashKnot/func_76986_a,(Lnet/minecraft/entity/Entity;DDDFF)V,net/minecraft/client/renderer/entity/RenderLeashKnot/doRender,(Lnet/minecraft/entity/Entity;DDDFF)V
bsx/k,()Z,net/minecraft/server/integrated/IntegratedServer/func_71199_h,()Z,net/minecraft/server/integrated/IntegratedServer/isHardcore,()Z
aei/values,()[Laei;,net/minecraft/item/EnumAction/values,()[Lnet/minecraft/item/EnumAction;,net/minecraft/item/EnumAction/values,()[Lnet/minecraft/item/EnumAction;
bdw/a,(Lbcb;)V,net/minecraft/client/gui/GuiScreen/func_146284_a,(Lnet/minecraft/client/gui/GuiButton;)V,net/minecraft/client/gui/GuiScreen/actionPerformed,(Lnet/minecraft/client/gui/GuiButton;)V
net/minecraft/realms/RealmsEditBox/deleteChars,(I)V,net/minecraft/realms/RealmsEditBox/deleteChars,(I)V,net/minecraft/realms/RealmsEditBox/deleteChars,(I)V
aye/hashCode,()I,net/minecraft/pathfinding/PathPoint/hashCode,()I,net/minecraft/pathfinding/PathPoint/hashCode,()I
bno/b,(Lsa;DDDFF)V,net/minecraft/client/renderer/entity/Render/func_76979_b,(Lnet/minecraft/entity/Entity;DDDFF)V,net/minecraft/client/renderer/entity/Render/doRenderShadowAndFire,(Lnet/minecraft/entity/Entity;DDDFF)V
ahb/b,(Ljava/lang/String;)I,net/minecraft/world/World/func_72841_b,(Ljava/lang/String;)I,net/minecraft/world/World/getUniqueDataId,(Ljava/lang/String;)I
bei/a,(CI)V,net/minecraft/client/gui/achievement/GuiAchievements/func_73869_a,(CI)V,net/minecraft/client/gui/achievement/GuiAchievements/keyTyped,(CI)V
ahb/K,()Lr;,net/minecraft/world/World/func_72861_E,()Lnet/minecraft/util/ChunkCoordinates;,net/minecraft/world/World/getSpawnPoint,()Lnet/minecraft/util/ChunkCoordinates;
bqr/b,(Ljava/lang/String;)Z,net/minecraft/client/resources/FileResourcePack/func_110593_b,(Ljava/lang/String;)Z,net/minecraft/client/resources/FileResourcePack/hasResourceName,(Ljava/lang/String;)Z
bjm/a,(Ljava/lang/String;)Lbjm;,net/minecraft/client/multiplayer/ServerAddress/func_78860_a,(Ljava/lang/String;)Lnet/minecraft/client/multiplayer/ServerAddress;,net/minecraft/client/multiplayer/ServerAddress/func_78860_a,(Ljava/lang/String;)Lnet/minecraft/client/multiplayer/ServerAddress;
bno/c,(Lsa;DDDFF)V,net/minecraft/client/renderer/entity/Render/func_76975_c,(Lnet/minecraft/entity/Entity;DDDFF)V,net/minecraft/client/renderer/entity/Render/renderShadow,(Lnet/minecraft/entity/Entity;DDDFF)V
bdj/a,(Lbdj;)Lbrr;,net/minecraft/client/gui/GuiLanguage/access$000,(Lnet/minecraft/client/gui/GuiLanguage;)Lnet/minecraft/client/resources/LanguageManager;,net/minecraft/client/gui/GuiLanguage/access$000,(Lnet/minecraft/client/gui/GuiLanguage;)Lnet/minecraft/client/resources/LanguageManager;
akv/E,()Z,net/minecraft/block/BlockEnderChest/func_149700_E,()Z,net/minecraft/block/BlockEnderChest/canSilkHarvest,()Z
et/setByte,(II)Lio/netty/buffer/ByteBuf;,net/minecraft/network/PacketBuffer/setByte,(II)Lio/netty/buffer/ByteBuf;,net/minecraft/network/PacketBuffer/setByte,(II)Lio/netty/buffer/ByteBuf;
aie/a,([Lahu;IIIIZ)[Lahu;,net/minecraft/world/biome/WorldChunkManagerHell/func_76931_a,([Lnet/minecraft/world/biome/BiomeGenBase;IIIIZ)[Lnet/minecraft/world/biome/BiomeGenBase;,net/minecraft/world/biome/WorldChunkManagerHell/getBiomeGenAt,([Lnet/minecraft/world/biome/BiomeGenBase;IIIIZ)[Lnet/minecraft/world/biome/BiomeGenBase;
ayp/x,()Lagy;,net/minecraft/world/storage/DerivedWorldInfo/func_82574_x,()Lnet/minecraft/world/GameRules;,net/minecraft/world/storage/DerivedWorldInfo/getGameRulesInstance,()Lnet/minecraft/world/GameRules;
bsx/h,()Z,net/minecraft/server/integrated/IntegratedServer/func_71225_e,()Z,net/minecraft/server/integrated/IntegratedServer/canStructuresSpawn,()Z
zs/a,([Ladd;)V,net/minecraft/inventory/Container/func_75131_a,([Lnet/minecraft/item/ItemStack;)V,net/minecraft/inventory/Container/putStacksInSlots,([Lnet/minecraft/item/ItemStack;)V
aob/a,(Lahb;IIILsa;)V,net/minecraft/block/BlockTNT/func_149670_a,(Lnet/minecraft/world/World;IIILnet/minecraft/entity/Entity;)V,net/minecraft/block/BlockTNT/onEntityCollidedWithBlock,(Lnet/minecraft/world/World;IIILnet/minecraft/entity/Entity;)V
aji/G,()Z,net/minecraft/block/Block/func_149652_G,()Z,net/minecraft/block/Block/getEnableStats,()Z
bcu/a,(Lbcb;)V,net/minecraft/client/gui/GuiConfirmOpenLink/func_146284_a,(Lnet/minecraft/client/gui/GuiButton;)V,net/minecraft/client/gui/GuiConfirmOpenLink/actionPerformed,(Lnet/minecraft/client/gui/GuiButton;)V
ako/d,(I)I,net/minecraft/block/BlockDoublePlant/func_149890_d,(I)I,net/minecraft/block/BlockDoublePlant/func_149890_d,(I)I
avz/b,(I)I,net/minecraft/world/gen/structure/StructureVillagePieces$House2/func_74888_b,(I)I,net/minecraft/world/gen/structure/StructureVillagePieces$House2/getVillagerType,(I)I
bjn/a,(Lbjo;)V,net/minecraft/client/multiplayer/ServerData/func_152584_a,(Lnet/minecraft/client/multiplayer/ServerData$ServerResourceMode;)V,net/minecraft/client/multiplayer/ServerData/func_152584_a,(Lnet/minecraft/client/multiplayer/ServerData$ServerResourceMode;)V
auy/a,(Lavk;Ljava/util/List;Ljava/util/Random;)V,net/minecraft/world/gen/structure/StructureStrongholdPieces$Stairs/func_74861_a,(Lnet/minecraft/world/gen/structure/StructureComponent;Ljava/util/List;Ljava/util/Random;)V,net/minecraft/world/gen/structure/StructureStrongholdPieces$Stairs/buildComponent,(Lnet/minecraft/world/gen/structure/StructureComponent;Ljava/util/List;Ljava/util/Random;)V
bkn/a,(Lsa;F)V,net/minecraft/client/particle/EffectRenderer/func_78874_a,(Lnet/minecraft/entity/Entity;F)V,net/minecraft/client/particle/EffectRenderer/renderParticles,(Lnet/minecraft/entity/Entity;F)V
bda/e,(II)V,net/minecraft/client/gui/GuiCreateFlatWorld$Details/func_148226_e,(II)V,net/minecraft/client/gui/GuiCreateFlatWorld$Details/func_148226_e,(II)V
fy/b,()Ljava/lang/String;,net/minecraft/network/play/server/S2CPacketSpawnGlobalEntity/func_148835_b,()Ljava/lang/String;,net/minecraft/network/play/server/S2CPacketSpawnGlobalEntity/serialize,()Ljava/lang/String;
brf/equals,(Ljava/lang/Object;)Z,net/minecraft/client/resources/ResourcePackRepository$Entry/equals,(Ljava/lang/Object;)Z,net/minecraft/client/resources/ResourcePackRepository$Entry/equals,(Ljava/lang/Object;)Z
ns/a,(Ljava/lang/String;)Lcom/mojang/authlib/GameProfile;,net/minecraft/server/management/PlayerProfileCache/func_152655_a,(Ljava/lang/String;)Lcom/mojang/authlib/GameProfile;,net/minecraft/server/management/PlayerProfileCache/func_152655_a,(Ljava/lang/String;)Lcom/mojang/authlib/GameProfile;
ajb/a,(I)I,net/minecraft/block/BlockAnvil/func_149692_a,(I)I,net/minecraft/block/BlockAnvil/damageDropped,(I)I
wv/u,()Ladb;,net/minecraft/entity/passive/EntityWolf/func_146068_u,()Lnet/minecraft/item/Item;,net/minecraft/entity/passive/EntityWolf/getDropItem,()Lnet/minecraft/item/Item;
aak/a,(I)Ladd;,net/minecraft/inventory/SlotFurnace/func_75209_a,(I)Lnet/minecraft/item/ItemStack;,net/minecraft/inventory/SlotFurnace/decrStackSize,(I)Lnet/minecraft/item/ItemStack;
aov/b,(ILadd;I)Z,net/minecraft/tileentity/TileEntityBrewingStand/func_102008_b,(ILnet/minecraft/item/ItemStack;I)Z,net/minecraft/tileentity/TileEntityBrewingStand/canExtractItem,(ILnet/minecraft/item/ItemStack;I)Z
aji/A,()D,net/minecraft/block/Block/func_149669_A,()D,net/minecraft/block/Block/getBlockBoundsMaxY,()D
akp/a,(Lahb;IIILyz;IFFF)Z,net/minecraft/block/BlockDragonEgg/func_149727_a,(Lnet/minecraft/world/World;IIILnet/minecraft/entity/player/EntityPlayer;IFFF)Z,net/minecraft/block/BlockDragonEgg/onBlockActivated,(Lnet/minecraft/world/World;IIILnet/minecraft/entity/player/EntityPlayer;IFFF)Z
nu/getActualTypeArguments,()[Ljava/lang/reflect/Type;,net/minecraft/server/management/PlayerProfileCache$2/getActualTypeArguments,()[Ljava/lang/reflect/Type;,net/minecraft/server/management/PlayerProfileCache$2/getActualTypeArguments,()[Ljava/lang/reflect/Type;
bjk/d,(Lro;F)V,net/minecraft/client/entity/EntityClientPlayerMP/func_70665_d,(Lnet/minecraft/util/DamageSource;F)V,net/minecraft/client/entity/EntityClientPlayerMP/damageEntity,(Lnet/minecraft/util/DamageSource;F)V
aem/a,(Ladd;Lahb;Lyz;)Ladd;,net/minecraft/item/ItemEditableBook/func_77659_a,(Lnet/minecraft/item/ItemStack;Lnet/minecraft/world/World;Lnet/minecraft/entity/player/EntityPlayer;)Lnet/minecraft/item/ItemStack;,net/minecraft/item/ItemEditableBook/onItemRightClick,(Lnet/minecraft/item/ItemStack;Lnet/minecraft/world/World;Lnet/minecraft/entity/player/EntityPlayer;)Lnet/minecraft/item/ItemStack;
mq/a,(IIZ)Lmr;,net/minecraft/server/management/PlayerManager/func_72690_a,(IIZ)Lnet/minecraft/server/management/PlayerManager$PlayerInstance;,net/minecraft/server/management/PlayerManager/getOrCreateChunkWatcher,(IIZ)Lnet/minecraft/server/management/PlayerManager$PlayerInstance;
acg/a,(Ladd;Lahb;Laji;IIILsv;)Z,net/minecraft/item/ItemTool/func_150894_a,(Lnet/minecraft/item/ItemStack;Lnet/minecraft/world/World;Lnet/minecraft/block/Block;IIILnet/minecraft/entity/EntityLivingBase;)Z,net/minecraft/item/ItemTool/onBlockDestroyed,(Lnet/minecraft/item/ItemStack;Lnet/minecraft/world/World;Lnet/minecraft/block/Block;IIILnet/minecraft/entity/EntityLivingBase;)Z
aov/a,(ILadd;I)Z,net/minecraft/tileentity/TileEntityBrewingStand/func_102007_a,(ILnet/minecraft/item/ItemStack;I)Z,net/minecraft/tileentity/TileEntityBrewingStand/canInsertItem,(ILnet/minecraft/item/ItemStack;I)Z
ako/c,(Lahb;IIIII)V,net/minecraft/block/BlockDoublePlant/func_149889_c,(Lnet/minecraft/world/World;IIIII)V,net/minecraft/block/BlockDoublePlant/func_149889_c,(Lnet/minecraft/world/World;IIIII)V
ph/j,()Lfj;,net/minecraft/stats/StatBase/func_150955_j,()Lnet/minecraft/util/IChatComponent;,net/minecraft/stats/StatBase/func_150955_j,()Lnet/minecraft/util/IChatComponent;
net/minecraft/realms/Tezzelator/color,(BBB)V,net/minecraft/realms/Tezzelator/color,(BBB)V,net/minecraft/realms/Tezzelator/color,(BBB)V
aji/B,()D,net/minecraft/block/Block/func_149706_B,()D,net/minecraft/block/Block/getBlockBoundsMinZ,()D
hg/b,()Ljava/lang/String;,net/minecraft/network/play/server/S14PacketEntity$S15PacketEntityRelMove/func_148835_b,()Ljava/lang/String;,net/minecraft/network/play/server/S14PacketEntity$S15PacketEntityRelMove/serialize,()Ljava/lang/String;
zu/a,(Lrb;)V,net/minecraft/inventory/ContainerRepair/func_75130_a,(Lnet/minecraft/inventory/IInventory;)V,net/minecraft/inventory/ContainerRepair/onCraftMatrixChanged,(Lnet/minecraft/inventory/IInventory;)V
xl/a,(DDD)Lazw;,net/minecraft/entity/item/EntityMinecart/func_70489_a,(DDD)Lnet/minecraft/util/Vec3;,net/minecraft/entity/item/EntityMinecart/func_70489_a,(DDD)Lnet/minecraft/util/Vec3;
aqz/a,(Lsx;III)Ljava/util/List;,net/minecraft/world/gen/ChunkProviderGenerate/func_73155_a,(Lnet/minecraft/entity/EnumCreatureType;III)Ljava/util/List;,net/minecraft/world/gen/ChunkProviderGenerate/getPossibleCreatures,(Lnet/minecraft/entity/EnumCreatureType;III)Ljava/util/List;
awd/a,(Lahb;Lasv;IIIIIILaji;Laji;Z)V,net/minecraft/world/gen/structure/StructureVillagePieces$Village/func_151549_a,(Lnet/minecraft/world/World;Lnet/minecraft/world/gen/structure/StructureBoundingBox;IIIIIILnet/minecraft/block/Block;Lnet/minecraft/block/Block;Z)V,net/minecraft/world/gen/structure/StructureVillagePieces$Village/fillWithBlocks,(Lnet/minecraft/world/World;Lnet/minecraft/world/gen/structure/StructureBoundingBox;IIIIIILnet/minecraft/block/Block;Lnet/minecraft/block/Block;Z)V
bfe/a,(Lbcb;)V,net/minecraft/client/gui/GuiScreenBook/func_146284_a,(Lnet/minecraft/client/gui/GuiButton;)V,net/minecraft/client/gui/GuiScreenBook/actionPerformed,(Lnet/minecraft/client/gui/GuiButton;)V
aym/a,(Laqo;)Laqc;,net/minecraft/world/chunk/storage/AnvilSaveHandler/func_75763_a,(Lnet/minecraft/world/WorldProvider;)Lnet/minecraft/world/chunk/storage/IChunkLoader;,net/minecraft/world/chunk/storage/AnvilSaveHandler/getChunkLoader,(Lnet/minecraft/world/WorldProvider;)Lnet/minecraft/world/chunk/storage/IChunkLoader;
api/z,()Lrb;,net/minecraft/tileentity/TileEntityHopper/func_145895_l,()Lnet/minecraft/inventory/IInventory;,net/minecraft/tileentity/TileEntityHopper/func_145895_l,()Lnet/minecraft/inventory/IInventory;
ako/a,(I)I,net/minecraft/block/BlockDoublePlant/func_149692_a,(I)I,net/minecraft/block/BlockDoublePlant/damageDropped,(I)I
aji/C,()D,net/minecraft/block/Block/func_149693_C,()D,net/minecraft/block/Block/getBlockBoundsMaxZ,()D
eb/a,(Ljava/lang/String;C)I,net/minecraft/nbt/JsonToNBT/func_150312_a,(Ljava/lang/String;C)I,net/minecraft/nbt/JsonToNBT/func_150312_a,(Ljava/lang/String;C)I
xx/u,()Ladb;,net/minecraft/entity/monster/EntityBlaze/func_146068_u,()Lnet/minecraft/item/Item;,net/minecraft/entity/monster/EntityBlaze/getDropItem,()Lnet/minecraft/item/Item;
net/minecraft/realms/Tezzelator/offset,(DDD)V,net/minecraft/realms/Tezzelator/offset,(DDD)V,net/minecraft/realms/Tezzelator/offset,(DDD)V
dw/hashCode,()I,net/minecraft/nbt/NBTTagShort/hashCode,()I,net/minecraft/nbt/NBTTagShort/hashCode,()I
bcn/c,(Lbao;II)Z,net/minecraft/client/gui/GuiOptionSlider/func_146116_c,(Lnet/minecraft/client/Minecraft;II)Z,net/minecraft/client/gui/GuiOptionSlider/mousePressed,(Lnet/minecraft/client/Minecraft;II)Z
ej/a,(Ljava/net/SocketAddress;)Lej;,net/minecraft/network/NetworkManager/func_150722_a,(Ljava/net/SocketAddress;)Lnet/minecraft/network/NetworkManager;,net/minecraft/network/NetworkManager/provideLocalClient,(Ljava/net/SocketAddress;)Lnet/minecraft/network/NetworkManager;
yd/u,()Ladb;,net/minecraft/entity/monster/EntityGhast/func_146068_u,()Lnet/minecraft/item/Item;,net/minecraft/entity/monster/EntityGhast/getDropItem,()Lnet/minecraft/item/Item;
agp/a,(ILjava/lang/String;)Z,net/minecraft/command/server/CommandBlockLogic/func_70003_b,(ILjava/lang/String;)Z,net/minecraft/command/server/CommandBlockLogic/canCommandSenderUseCommand,(ILjava/lang/String;)Z
aft/b,(Lsv;Lsa;I)V,net/minecraft/enchantment/Enchantment/func_151367_b,(Lnet/minecraft/entity/EntityLivingBase;Lnet/minecraft/entity/Entity;I)V,net/minecraft/enchantment/Enchantment/func_151367_b,(Lnet/minecraft/entity/EntityLivingBase;Lnet/minecraft/entity/Entity;I)V
aji/D,()I,net/minecraft/block/Block/func_149635_D,()I,net/minecraft/block/Block/getBlockColor,()I
bsx/e,()Z,net/minecraft/server/integrated/IntegratedServer/func_71197_b,()Z,net/minecraft/server/integrated/IntegratedServer/startServer,()Z
net/minecraft/realms/RealmsAnvilLevelStorageSource/renameLevel,(Ljava/lang/String;Ljava/lang/String;)V,net/minecraft/realms/RealmsAnvilLevelStorageSource/renameLevel,(Ljava/lang/String;Ljava/lang/String;)V,net/minecraft/realms/RealmsAnvilLevelStorageSource/renameLevel,(Ljava/lang/String;Ljava/lang/String;)V
bgg/a,(IIIIILbmh;IIZ)V,net/minecraft/client/resources/ResourcePackListEntry/func_148279_a,(IIIIILnet/minecraft/client/renderer/Tessellator;IIZ)V,net/minecraft/client/resources/ResourcePackListEntry/drawEntry,(IIIIILnet/minecraft/client/renderer/Tessellator;IIZ)V
bnc/a,(Lsv;FFF)V,net/minecraft/client/renderer/entity/RenderBat/func_77043_a,(Lnet/minecraft/entity/EntityLivingBase;FFF)V,net/minecraft/client/renderer/entity/RenderBat/rotateCorpse,(Lnet/minecraft/entity/EntityLivingBase;FFF)V
bon/a,(Ltb;FF)V,net/minecraft/client/renderer/entity/RenderPainting/func_77008_a,(Lnet/minecraft/entity/item/EntityPainting;FF)V,net/minecraft/client/renderer/entity/RenderPainting/func_77008_a,(Lnet/minecraft/entity/item/EntityPainting;FF)V
bte/a,(Ljava/lang/String;)Ljava/lang/String;,net/minecraft/client/multiplayer/ThreadLanServerPing/func_77524_a,(Ljava/lang/String;)Ljava/lang/String;,net/minecraft/client/multiplayer/ThreadLanServerPing/getMotdFromPingResponse,(Ljava/lang/String;)Ljava/lang/String;
bav/call,()Ljava/lang/Object;,net/minecraft/client/Minecraft$15/call,()Ljava/lang/Object;,net/minecraft/client/Minecraft$15/call,()Ljava/lang/Object;
mx/a,(Lyz;Lahb;Ladd;)Z,net/minecraft/server/management/ItemInWorldManager/func_73085_a,(Lnet/minecraft/entity/player/EntityPlayer;Lnet/minecraft/world/World;Lnet/minecraft/item/ItemStack;)Z,net/minecraft/server/management/ItemInWorldManager/tryUseItem,(Lnet/minecraft/entity/player/EntityPlayer;Lnet/minecraft/world/World;Lnet/minecraft/item/ItemStack;)Z
afp/b,(I)I,net/minecraft/enchantment/EnchantmentArrowKnockback/func_77317_b,(I)I,net/minecraft/enchantment/EnchantmentArrowKnockback/getMaxEnchantability,(I)I
bor/a,(Lyk;DDDFF)V,net/minecraft/client/renderer/entity/RenderSilverfish/func_76986_a,(Lnet/minecraft/entity/monster/EntitySilverfish;DDDFF)V,net/minecraft/client/renderer/entity/RenderSilverfish/doRender,(Lnet/minecraft/entity/monster/EntitySilverfish;DDDFF)V
kq/b,(Lck;Ladd;)Ladd;,net/minecraft/init/Bootstrap$13/func_82487_b,(Lnet/minecraft/dispenser/IBlockSource;Lnet/minecraft/item/ItemStack;)Lnet/minecraft/item/ItemStack;,net/minecraft/init/Bootstrap$13/dispenseStack,(Lnet/minecraft/dispenser/IBlockSource;Lnet/minecraft/item/ItemStack;)Lnet/minecraft/item/ItemStack;
ahb/b,(IIILaji;)Z,net/minecraft/world/World/func_147449_b,(IIILnet/minecraft/block/Block;)Z,net/minecraft/world/World/setBlock,(IIILnet/minecraft/block/Block;)Z
agg/a,(I)I,net/minecraft/enchantment/EnchantmentLootBonus/func_77321_a,(I)I,net/minecraft/enchantment/EnchantmentLootBonus/getMinEnchantability,(I)I
aof/a,(Lahb;)I,net/minecraft/block/BlockTripWire/func_149738_a,(Lnet/minecraft/world/World;)I,net/minecraft/block/BlockTripWire/tickRate,(Lnet/minecraft/world/World;)I
zs/a,(Ladd;Laay;)Z,net/minecraft/inventory/Container/func_94530_a,(Lnet/minecraft/item/ItemStack;Lnet/minecraft/inventory/Slot;)Z,net/minecraft/inventory/Container/func_94530_a,(Lnet/minecraft/item/ItemStack;Lnet/minecraft/inventory/Slot;)Z
adb/a,(Ladb;Labt;Ljava/util/List;)V,net/minecraft/item/Item/func_150895_a,(Lnet/minecraft/item/Item;Lnet/minecraft/creativetab/CreativeTabs;Ljava/util/List;)V,net/minecraft/item/Item/getSubItems,(Lnet/minecraft/item/Item;Lnet/minecraft/creativetab/CreativeTabs;Ljava/util/List;)V
mt/c,(Lsa;)Z,net/minecraft/world/WorldServer/func_72942_c,(Lnet/minecraft/entity/Entity;)Z,net/minecraft/world/WorldServer/addWeatherEffect,(Lnet/minecraft/entity/Entity;)Z
azo/a,(Laqo;)Laqc;,net/minecraft/world/storage/SaveHandlerMP/func_75763_a,(Lnet/minecraft/world/WorldProvider;)Lnet/minecraft/world/chunk/storage/IChunkLoader;,net/minecraft/world/storage/SaveHandlerMP/getChunkLoader,(Lnet/minecraft/world/WorldProvider;)Lnet/minecraft/world/chunk/storage/IChunkLoader;
abt/a,(Ljava/util/List;[Lafu;)V,net/minecraft/creativetab/CreativeTabs/func_92116_a,(Ljava/util/List;[Lnet/minecraft/enchantment/EnumEnchantmentType;)V,net/minecraft/creativetab/CreativeTabs/addEnchantmentBooksToList,(Ljava/util/List;[Lnet/minecraft/enchantment/EnumEnchantmentType;)V
am/a,()I,net/minecraft/command/CommandEffect/func_82362_a,()I,net/minecraft/command/CommandEffect/getRequiredPermissionLevel,()I
ann/a,(ILjava/util/Random;I)Ladb;,net/minecraft/block/BlockSnow/func_149650_a,(ILjava/util/Random;I)Lnet/minecraft/item/Item;,net/minecraft/block/BlockSnow/getItemDropped,(ILjava/util/Random;I)Lnet/minecraft/item/Item;
any/a,(ILjava/util/Random;I)Ladb;,net/minecraft/block/BlockStoneSlab/func_149650_a,(ILjava/util/Random;I)Lnet/minecraft/item/Item;,net/minecraft/block/BlockStoneSlab/getItemDropped,(ILjava/util/Random;I)Lnet/minecraft/item/Item;
akf/a,(Laji;)Z,net/minecraft/block/BlockCrops/func_149854_a,(Lnet/minecraft/block/Block;)Z,net/minecraft/block/BlockCrops/canPlaceBlockOn,(Lnet/minecraft/block/Block;)Z
afp/a,(I)I,net/minecraft/enchantment/EnchantmentArrowKnockback/func_77321_a,(I)I,net/minecraft/enchantment/EnchantmentArrowKnockback/getMinEnchantability,(I)I
ahb/a,(IIILaji;)Z,net/minecraft/world/World/func_147477_a,(IIILnet/minecraft/block/Block;)Z,net/minecraft/world/World/isBlockTickScheduledThisTick,(IIILnet/minecraft/block/Block;)Z
akq/a,(Ladd;)Lcp;,net/minecraft/block/BlockDropper/func_149940_a,(Lnet/minecraft/item/ItemStack;)Lnet/minecraft/dispenser/IBehaviorDispenseItem;,net/minecraft/block/BlockDropper/func_149940_a,(Lnet/minecraft/item/ItemStack;)Lnet/minecraft/dispenser/IBehaviorDispenseItem;
bd/a,()I,net/minecraft/command/server/CommandPardonIp/func_82362_a,()I,net/minecraft/command/server/CommandPardonIp/getRequiredPermissionLevel,()I
ax/a,()I,net/minecraft/command/server/CommandListBans/func_82362_a,()I,net/minecraft/command/server/CommandListBans/getRequiredPermissionLevel,()I
ahb/d,(IIILaji;)V,net/minecraft/world/World/func_147459_d,(IIILnet/minecraft/block/Block;)V,net/minecraft/world/World/notifyBlocksOfNeighborChange,(IIILnet/minecraft/block/Block;)V
aen/a,(I)I,net/minecraft/potion/PotionHelper/func_77909_a,(I)I,net/minecraft/potion/PotionHelper/func_77909_a,(I)I
bz/a,()I,net/minecraft/command/CommandTime/func_82362_a,()I,net/minecraft/command/CommandTime/getRequiredPermissionLevel,()I
bua/stopCallback,(Ltv/twitch/ErrorCode;)V,net/minecraft/client/stream/BroadcastController/stopCallback,(Ltv/twitch/ErrorCode;)V,net/minecraft/client/stream/BroadcastController/stopCallback,(Ltv/twitch/ErrorCode;)V
pa/run,()V,net/minecraft/network/rcon/RConThreadMain/run,()V,net/minecraft/network/rcon/RConThreadMain/run,()V
